PMID	SRA Study	SRA Run	Treatment	Development Stage	Tissue	TPM
31882456	SRP108540	SRR5643370	20 uM Fe and 0 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643371	20 uM Fe and 0 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643372	20 uM Fe and 2.5 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643373	20 uM Fe and 2.5 mM Bicarbonate	NA	root	5.1949
31882456	SRP108540	SRR5643374	20 uM Fe and 0 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643375	20 uM Fe and 0 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643376	20 uM Fe and 5 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643377	20 uM Fe and 5 mM Bicarbonate	NA	root	1858.2922
31882456	SRP108540	SRR5643378	20 uM Fe and 2.5 mM Bicarbonate	NA	root	18.0556
31882456	SRP108540	SRR5643379	20 uM Fe and 5 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643380	1.0 uM Fe and 2.5 mM Bicarbonate	NA	root	0
31882456	SRP108540	SRR5643381	1.0 uM Fe and 2.5 mM Bicarbonate	NA	root	9.9258
31882456	SRP108540	SRR5643382	1.0 uM Fe and 2.5 mM Bicarbonate	NA	root	1.4121
29284742	SRP020868	SRR824155	no treatment	NA		0
29284742	SRP020868	SRR824156	no treatment	NA		0
29284742	SRP020868	SRR824157	no treatment	NA		0
29284742	SRP020868	SRR824158	no treatment	NA		0
29284742	SRP020868	SRR824159	no treatment	NA		0
29284742	SRP020868	SRR824160	no treatment	NA		0
29284742	SRP020868	SRR824161	no treatment	NA		22.7688
29284742	SRP020868	SRR824162	no treatment	NA		0
29284742	SRP020868	SRR824163	no treatment	NA		0
31606033	SRP179714	SRR8447156	Salt	Seedling	root	25.4817
31606033	SRP179714	SRR8447157	Salt	Seedling	root	0
